target.cycle,target.energy,target.edp,target.area,mapping.mapping,arch.pe,arch.mac,arch.meshX,arch.mem1_entries,arch.mem1_depth,arch.mem1_width,arch.mem1_instances,arch.mem1_word-bits,arch.mem1_network-word-bits,arch.mem1_n_rdwr_ports,arch.mem1_n_banks,arch.mem1_shared_bandwidth,arch.mem2_entries,arch.mem2_depth,arch.mem2_width,arch.mem2_instances,arch.mem2_meshX,arch.mem2_word-bits,arch.mem2_n_rdwr_ports,arch.mem2_n_banks,arch.mem2_shared_bandwidth,arch.name,prob.shape,prob.C,prob.Hdilation,prob.Hstride,prob.K,prob.N,prob.P,prob.Q,prob.R,prob.S,prob.Wdilation,prob.Wstride,target.gemmini_cycle,dse.auto_tiling,target.gemmini_auto_cycle
200704,134.16899999999998,26.92835,1.108466,L3[WIO] K32 - L2[WI] N1 K16X - L1[O] K2 C16 Q14 P2 C16X - L0[W] P7,256,1,16,1568,1568,32,16,32,16,2,2,2,113664,7104,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,1024,1,14,14,1,1,1,1,4422452.0,1_1_14_14_256_32_1,4712688.0
460288,549.245,252.8109,1.108466,L3[WIO] P2 K4 Q2 C4 - L2[WI] N1 K16X - L1[O] C8 K16 Q7 C16X - L0[W] P7,256,1,16,1568,1568,32,16,32,16,2,2,2,113664,7104,128,1,1,8,1,1,32,gemmini,cnn-layer,512,1,2,1024,1,14,14,1,1,1,2,57608270.0,1_1_14_14_160_32_1,26531043.0
239744,279.759,67.07043,1.108466,L3[WIO] K8 C4 - L2[WI] N1 K16X - L1[O] K2 C16 Q2 C16X - L0[W] Q7 P14,256,1,16,1568,1568,32,16,32,16,2,2,2,113664,7104,128,1,1,8,1,1,32,gemmini,cnn-layer,1024,1,1,256,1,14,14,1,1,1,1,6108599.0,1_1_14_14_568_32_1,11953369.0
451584,392.216,177.1184,1.108466,L3[WIO] K8 R3 S3 - L2[WI] N1 K16X - L1[O] K2 C16 Q14 P7 C16X - L0[W] P2,256,1,16,1568,1568,32,16,32,16,2,2,2,113664,7104,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,256,1,14,14,3,3,1,1,7051470.0,3_3_12_12_208_48_1,8310646.0
410816,309.58099999999996,127.1808,1.108466,L3[WIO] C4 K16 - L2[WI] N1 K16X - L1[O] K2 C16 Q7 P2 C16X - L0[W] Q2 P7,256,1,16,1568,1568,32,16,32,16,2,2,2,113664,7104,128,1,1,8,1,1,32,gemmini,cnn-layer,1024,1,1,512,1,14,14,1,1,1,1,12393963.0,1_1_14_14_568_32_1,23828523.0
451584,498.844,225.2698,1.108466,L3[WIO] K2 C2 S3 R3 - L2[WI] N1 K16X - L1[O] C16 K16 Q7 P7 C16X - L0[W] N1,256,1,16,1568,1568,32,16,32,16,2,2,2,113664,7104,128,1,1,8,1,1,32,gemmini,cnn-layer,512,1,2,512,1,7,7,3,3,1,2,93982064.0,3_3_6_6_122_96_1,23324670.0
200704,244.588,49.08981,1.108466,L3[WIO] K16 C2 - L2[WI] N1 K16X - L1[O] K8 C16 Q7 P7 C16X - L0[W] N1,256,1,16,1568,1568,32,16,32,16,2,2,2,113664,7104,128,1,1,8,1,1,32,gemmini,cnn-layer,512,1,1,2048,1,7,7,1,1,1,1,26196076.0,1_1_7_7_512_160_1,50127008.0
410816,475.085,195.1726,1.108466,L3[WIO] C4 K8 - L2[WI] N1 K16X - L1[O] C16 K16 P7 C16X - L0[W] Q7,256,1,16,1568,1568,32,16,32,16,2,2,2,113664,7104,128,1,1,8,1,1,32,gemmini,cnn-layer,1024,1,2,2048,1,7,7,1,1,1,2,114048594.0,1_1_7_7_368_160_1,130816063.0
234560,278.518,65.32911,1.108466,L3[WIO] K8 C4 - L2[WI] N1 K16X - L1[O] K4 C32 Q7 P7 C16X - L0[W] N1,256,1,16,1568,1568,32,16,32,16,2,2,2,113664,7104,128,1,1,8,1,1,32,gemmini,cnn-layer,2048,1,1,512,1,7,7,1,1,1,1,28390025.0,1_1_7_7_624_160_1,80323394.0
451584,456.965,206.3579,1.108466,L3[WIO] K2 C2 S3 R3 - L2[WI] N1 K16X - L1[O] C16 K16 Q7 P7 C16X - L0[W] N1,256,1,16,1568,1568,32,16,32,16,2,2,2,113664,7104,128,1,1,8,1,1,32,gemmini,cnn-layer,512,1,1,512,1,7,7,3,3,1,1,73157919.0,3_3_5_5_123_112_1,24377199.0
258686,225.917,58.44155,1.108466,L3[WIO] K10 C4 - L2[WI] N1 K4X - L1[O] C32 K25 C16X - L0[W] N1,256,1,16,1568,1568,32,16,32,16,2,2,2,113664,7104,128,1,1,8,1,1,32,gemmini,cnn-layer,2048,1,1,1000,1,1,1,1,1,1,1,82784234,1_1_1_1_56_8_1,46343025
