target.cycle,target.energy,target.edp,target.area,mapping.mapping,arch.pe,arch.mac,arch.meshX,arch.mem1_entries,arch.mem1_depth,arch.mem1_width,arch.mem1_instances,arch.mem1_word-bits,arch.mem1_network-word-bits,arch.mem1_n_rdwr_ports,arch.mem1_n_banks,arch.mem1_shared_bandwidth,arch.mem2_entries,arch.mem2_depth,arch.mem2_width,arch.mem2_instances,arch.mem2_meshX,arch.mem2_word-bits,arch.mem2_n_rdwr_ports,arch.mem2_n_banks,arch.mem2_shared_bandwidth,arch.name,prob.shape,prob.C,prob.Hdilation,prob.Hstride,prob.K,prob.N,prob.P,prob.Q,prob.R,prob.S,prob.Wdilation,prob.Wstride,dse.auto_tiling,target.gemmini_auto_cycle,target.gemmini_cycle
294912,221.759,65.39953,1.300916,L3[WIO] K6 - L2[WI] N1 K16X - L1[O] K8 C48 P4 C16X - L0[W] P32,256,1,16,1024,1024,32,16,32,16,2,2,2,262144,16384,128,1,1,8,1,1,32,gemmini,cnn-layer,768,1,1,768,1,128,1,1,1,1,1,1_1_80_1_768_80_1,345931.0,305870.0
4096,5.31176,0.02175698,1.300916,L3[WIO] N1 - L2[WI] N1 K16X - L1[O] K8 C4 P8 C16X - L0[W] P16,256,1,16,1024,1024,32,16,32,16,2,2,2,262144,16384,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1,1_1_80_1_64_96_1,6706.0,7648.0
4096,5.36845,0.02198917,1.300916,L3[WIO] N1 - L2[WI] N1 K16X - L1[O] K4 C8 P8 C16X - L0[W] P16,256,1,16,1024,1024,32,16,32,16,2,2,2,262144,16384,128,1,1,8,1,1,32,gemmini,cnn-layer,128,1,1,64,1,128,1,1,1,1,1,1_1_128_1_128_64_1,7517.0,7268.0
1179648,855.506,1009.196,1.300916,L3[WIO] K24 - L2[WI] N1 K16X - L1[O] K8 C48 P8 C16X - L0[W] P16,256,1,16,1024,1024,32,16,32,16,2,2,2,262144,16384,128,1,1,8,1,1,32,gemmini,cnn-layer,768,1,1,3072,1,128,1,1,1,1,1,1_1_80_1_768_80_1,1533044.0,1190378.0
1185792,897.331,1064.048,1.300916,L3[WIO] C3 K6 - L2[WI] N1 K16X - L1[O] K8 C64 P16 C16X - L0[W] P8,256,1,16,1024,1024,32,16,32,16,2,2,2,262144,16384,128,1,1,8,1,1,32,gemmini,cnn-layer,3072,1,1,768,1,128,1,1,1,1,1,1_1_80_1_816_80_1,1518059.0,1192768.0
