target.cycle,target.energy,target.edp,target.area,mapping.mapping,arch.pe,arch.mac,arch.meshX,arch.mem1_entries,arch.mem1_depth,arch.mem1_width,arch.mem1_instances,arch.mem1_word-bits,arch.mem1_network-word-bits,arch.mem1_n_rdwr_ports,arch.mem1_n_banks,arch.mem1_shared_bandwidth,arch.mem2_entries,arch.mem2_depth,arch.mem2_width,arch.mem2_instances,arch.mem2_meshX,arch.mem2_word-bits,arch.mem2_n_rdwr_ports,arch.mem2_n_banks,arch.mem2_shared_bandwidth,arch.name,prob.shape,prob.C,prob.Hdilation,prob.Hstride,prob.K,prob.N,prob.P,prob.Q,prob.R,prob.S,prob.Wdilation,prob.Wstride,dse.auto_tiling,target.gemmini_auto_cycle,target.gemmini_cycle
294912,202.988,59.86356,0.796175,L3[WIO] K12 - L2[WI] N1 K16X - L1[O] K4 C48 P4 C16X - L0[W] P32,256,1,16,512,512,32,16,32,16,2,2,2,147456,9216,128,1,1,8,1,1,32,gemmini,cnn-layer,768,1,1,768,1,128,1,1,1,1,1,1_1_80_1_768_80_1,368984.0,304571.0
4096,5.06946,0.02076452,0.796175,L3[WIO] P2 - L2[WI] N1 K16X - L1[O] K8 C4 P4 C16X - L0[W] P16,256,1,16,512,512,32,16,32,16,2,2,2,147456,9216,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1,1_1_80_1_64_96_1,6854.0,6597.0
4096,5.06547,0.02074816,0.796175,L3[WIO] N1 - L2[WI] N1 K16X - L1[O] K4 C8 P8 C16X - L0[W] P16,256,1,16,512,512,32,16,32,16,2,2,2,147456,9216,128,1,1,8,1,1,32,gemmini,cnn-layer,128,1,1,64,1,128,1,1,1,1,1,1_1_128_1_128_64_1,7472.0,7269.0
1179648,781.249,921.5994,0.796175,L3[WIO] K96 - L2[WI] N1 K16X - L1[O] K2 C48 P8 C16X - L0[W] P16,256,1,16,512,512,32,16,32,16,2,2,2,147456,9216,128,1,1,8,1,1,32,gemmini,cnn-layer,768,1,1,3072,1,128,1,1,1,1,1,1_1_80_1_768_80_1,1565908.0,1311174.0
1185792,1078.66,1279.062,0.796175,L3[WIO] P2 C3 K12 - L2[WI] N1 K16X - L1[O] K4 C64 P8 C16X - L0[W] P8,256,1,16,512,512,32,16,32,16,2,2,2,147456,9216,128,1,1,8,1,1,32,gemmini,cnn-layer,3072,1,1,768,1,128,1,1,1,1,1,1_1_80_1_816_80_1,1577878.0,1265335.0
