target.cycle,target.energy,target.edp,target.area,mapping.mapping,arch.pe,arch.mac,arch.meshX,arch.mem1_entries,arch.mem1_depth,arch.mem1_width,arch.mem1_instances,arch.mem1_word-bits,arch.mem1_network-word-bits,arch.mem1_n_rdwr_ports,arch.mem1_n_banks,arch.mem1_shared_bandwidth,arch.mem2_entries,arch.mem2_depth,arch.mem2_width,arch.mem2_instances,arch.mem2_meshX,arch.mem2_word-bits,arch.mem2_n_rdwr_ports,arch.mem2_n_banks,arch.mem2_shared_bandwidth,arch.name,prob.shape,prob.C,prob.Hdilation,prob.Hstride,prob.K,prob.N,prob.P,prob.Q,prob.R,prob.S,prob.Wdilation,prob.Wstride
647168,172.541919,111.6636,0.708209,L3[WIO] P128 C16 K4 - L2[WI] N1 - L1[O] K32 C2 C2X - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
1048576,72.572943,76.09825,0.708209,L3[WIO] P8 K64 C32 - L2[WI] N1 - L1[O] K2 C2 P16 - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
72704,36.377022,2.644755,0.708209,L3[WIO] C8 K8 P2 - L2[WI] N1 K8X - L1[O] K2 C4 P64 C2X - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
262144,9.952306,2.608937,0.708209,L3[WIO] K16 - L2[WI] N1 K4X - L1[O] K2 C64 P128 - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
647168,115.974129,75.05475,0.708209,L3[WIO] P64 C16 K4 - L2[WI] N1 - L1[O] K32 C2 P2 C2X - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
262144,21.41102,5.61277,0.708209,L3[WIO] K16 C8 - L2[WI] N1 K2X - L1[O] K4 C4 P128 C2X - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
1048576,69.037456,72.39102,0.708209,L3[WIO] P4 K64 C32 - L2[WI] N1 - L1[O] K2 C2 P32 - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
155648,131.106042,20.40639,0.708209,L3[WIO] P128 C4 K2 - L2[WI] N1 - L1[O] K64 C2 C8X - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
155648,46.254357,7.199398,0.708209,L3[WIO] P32 C4 K2 - L2[WI] N1 - L1[O] K64 C2 P4 C8X - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
155648,32.11241,4.998232,0.708209,L3[WIO] P16 C4 K2 - L2[WI] N1 - L1[O] K64 C2 P8 C8X - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
