target.cycle,target.energy,target.edp,target.area,mapping.mapping,arch.pe,arch.mac,arch.meshX,arch.mem1_entries,arch.mem1_depth,arch.mem1_width,arch.mem1_instances,arch.mem1_word-bits,arch.mem1_network-word-bits,arch.mem1_n_rdwr_ports,arch.mem1_n_banks,arch.mem1_shared_bandwidth,arch.mem2_entries,arch.mem2_depth,arch.mem2_width,arch.mem2_instances,arch.mem2_meshX,arch.mem2_word-bits,arch.mem2_n_rdwr_ports,arch.mem2_n_banks,arch.mem2_shared_bandwidth,arch.name,prob.shape,prob.C,prob.Hdilation,prob.Hstride,prob.K,prob.N,prob.P,prob.Q,prob.R,prob.S,prob.Wdilation,prob.Wstride,dse.auto_tiling,target.gemmini_auto_cycle,target.gemmini_cycle
294912,251.972,74.30969,1.640872,L3[WIO] K2 P2 - L2[WI] N1 K16X - L1[O] K24 C48 P16 C16X - L0[W] P4,256,1,16,1536,1536,32,16,32,16,2,2,2,344064,21504,128,1,1,8,1,1,32,gemmini,cnn-layer,768,1,1,768,1,128,1,1,1,1,1,1_1_80_1_768_80_1,342356.0,371872.0
4096,5.51924,0.02260681,1.640872,L3[WIO] N1 - L2[WI] N1 K16X - L1[O] K8 C4 P8 C16X - L0[W] P16,256,1,16,1536,1536,32,16,32,16,2,2,2,344064,21504,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1,1_1_80_1_64_96_1,8169.0,7759.0
4096,5.59239,0.02290644,1.640872,L3[WIO] N1 - L2[WI] N1 K16X - L1[O] K4 C8 P16 C16X - L0[W] P8,256,1,16,1536,1536,32,16,32,16,2,2,2,344064,21504,128,1,1,8,1,1,32,gemmini,cnn-layer,128,1,1,64,1,128,1,1,1,1,1,1_1_128_1_128_64_1,7475.0,7270.0
1179648,910.7139999999999,1074.322,1.640872,L3[WIO] K32 - L2[WI] N1 K16X - L1[O] K6 C48 P8 C16X - L0[W] P16,256,1,16,1536,1536,32,16,32,16,2,2,2,344064,21504,128,1,1,8,1,1,32,gemmini,cnn-layer,768,1,1,3072,1,128,1,1,1,1,1,1_1_80_1_768_80_1,1353386.0,1382178.0
1182721,933.26,1103.786,1.640872,L3[WIO] C2 K16 - L2[WI] N1 K16X - L1[O] K3 C96 P16 C16X - L0[W] P8,256,1,16,1536,1536,32,16,32,16,2,2,2,344064,21504,128,1,1,8,1,1,32,gemmini,cnn-layer,3072,1,1,768,1,128,1,1,1,1,1,1_1_80_1_816_80_1,1224505.0,1382974.0
